discount,gender,age,marital_status,education,city_level,purchase_power,original_unit_price
1,Female,26-35,Single,3,4,3,330
,Female,>=56,Married,3,2,3,79
1,Male,26-35,Married,3,2,2,298
,Female,26-35,Married,2,3,2,150
1,Female,26-35,Married,4,1,2,79.9
1,Male,26-35,Married,3,4,1,78
1,Female,36-45,Married,3,4,2,59
1,Female,16-25,Single,3,2,2,79.9
,Female,36-45,Married,4,2,2,78
1,Female,>=56,Single,3,3,3,25
1,Female,>=56,Single,3,3,3,210
1,Female,>=56,Single,3,3,3,0
1,Female,>=56,Single,3,3,3,0
1,Female,>=56,Single,3,3,3,230
,Female,36-45,Married,,4,,150
,Female,26-35,Single,2,3,2,0
,Female,16-25,Single,2,1,2,0
1,Male,26-35,Single,4,,2,139
1,Female,26-35,Unknown,,4,,49
1,Female,16-25,Single,2,3,2,79
1,Female,26-35,Married,2,4,2,78
,Male,36-45,Married,4,2,2,0
1,Female,16-25,Married,4,4,2,89.9
1,Female,16-25,Married,4,4,2,59.9
1,Female,16-25,Single,3,4,2,59
,Female,>=56,Married,3,1,2,70
1,Female,46-55,Married,4,1,2,191
,Female,26-35,Married,3,1,2,0
1,Female,26-35,Married,3,2,2,89
1,Male,26-35,Single,3,1,2,89
1,Male,26-35,Married,3,4,2,89
1,Female,36-45,Single,3,1,2,49
,Female,16-25,Married,,3,3,208
1,Female,16-25,Single,3,1,2,69
1,Male,26-35,Single,3,3,2,250
1,Male,26-35,Single,3,3,2,59.9
1,Male,16-25,Married,2,4,2,98
,Male,16-25,Single,3,4,3,30
,Male,16-25,Single,3,4,3,30
1,Male,16-25,Single,3,1,2,250
1,Male,46-55,Single,2,4,3,89
1,Female,16-25,Single,,4,3,198
1,Male,26-35,Married,3,,1,250
,Male,26-35,Unknown,,4,,0
1,Male,16-25,Single,3,2,2,59.9
1,Female,26-35,Married,4,2,2,139
1,Female,16-25,Single,3,1,2,279
1,Male,26-35,Single,3,2,3,59
,Female,16-25,Married,3,1,2,0
1,Female,26-35,Married,3,1,2,65
1,Female,26-35,Married,2,3,2,188
1,Male,26-35,Married,3,2,3,59.9
1,Male,16-25,Single,3,,3,89
1,Female,16-25,Unknown,,,,78
,Male,16-25,Single,2,2,2,59
1,Female,16-25,Single,3,3,3,268
1,Male,16-25,Single,2,2,3,41.7
1,Female,26-35,Single,3,1,2,336
1,Female,16-25,Unknown,,3,,79
1,Male,16-25,Single,2,2,2,79
1,Female,16-25,Unknown,,2,,99
,Female,16-25,Unknown,,2,,0
1,Female,16-25,Single,3,4,2,158
1,Female,>=56,Single,,3,4,59.9
1,Male,26-35,Married,3,3,2,355
1,Male,26-35,Single,2,4,2,139
1,Female,16-25,Single,2,4,3,78
1,Female,26-35,Single,3,1,2,69
1,Female,26-35,Single,4,1,3,78
1,Female,16-25,Married,3,2,3,129
,Female,16-25,Married,3,2,3,0
,Female,26-35,Married,2,1,2,0
1,Female,26-35,Married,2,1,2,69
,Female,26-35,Single,4,2,2,29.9
1,Female,26-35,Single,3,2,2,245
1,Female,16-25,Unknown,,,,53
1,Female,26-35,Married,4,3,3,93.5
,Female,26-35,Single,2,3,3,99
1,Male,36-45,Married,4,2,2,69
1,Male,36-45,Married,3,4,2,79.9
1,Male,16-25,Single,3,4,3,320
1,Male,26-35,Married,3,4,2,139
,Female,26-35,Single,2,4,2,69
,Female,26-35,Single,3,2,2,145
,Female,16-25,Unknown,,2,,99
,Female,16-25,Unknown,,2,,0
1,Female,36-45,Married,3,1,2,79.9
1,Female,26-35,Single,3,2,3,118
1,Male,36-45,Married,4,1,2,129
1,Female,36-45,Married,4,1,2,250
,Female,36-45,Married,4,1,2,0
,Male,26-35,Married,3,1,2,0
,Female,16-25,Unknown,,3,,65
1,Female,16-25,Unknown,,3,,60
1,Female,36-45,Married,4,2,2,298
1,Female,36-45,Married,4,2,2,240
,Male,16-25,Single,2,2,2,0
,Male,36-45,Single,2,1,2,0
1,Male,36-45,Married,2,4,2,99
1,Female,26-35,Married,3,2,3,298
1,Female,16-25,Single,2,2,2,139
1,Female,26-35,Married,3,2,3,99
1,Female,36-45,Married,4,1,2,78
1,Male,36-45,Single,4,4,2,139.9
1,Female,16-25,Married,3,1,2,110
1,Female,16-25,Married,3,1,2,139.9
1,Female,16-25,Married,3,1,2,180
1,Female,16-25,Married,3,1,2,79.9
,Female,36-45,Married,3,2,2,0
,Female,36-45,Married,3,2,2,0
,Female,36-45,Married,3,2,2,0
,Female,36-45,Married,3,2,2,0
,Female,36-45,Single,2,2,2,59
1,Female,26-35,Single,3,1,2,79.9
1,Female,26-35,Single,3,1,2,99.9
,Female,26-35,Married,2,4,,0
1,Female,26-35,Married,3,3,3,148
1,Female,36-45,Married,3,1,2,129
,Female,36-45,Married,3,1,2,0
