"Date","Model","Sales","COGS","RD"
2010-01-01,1,131500,91910,0
2010-01-02,1,135600,86952,0
2010-01-03,1,131000,92183,0
2010-01-04,1,130400,86807,0
2010-01-05,1,137300,85757,0
2010-01-06,1,129500,93499,0
2010-01-07,1,126200,88682,0
2010-01-08,1,136400,88260,0
2010-01-09,1,141400,89443,0
2010-01-10,1,135400,90905,0
2010-01-11,1,140400,85740,0
2010-01-12,1,136200,90202,0
2010-01-13,1,136800,82944,0
2010-01-14,1,132600,85313,0
2010-01-15,1,128300,91727,0
2010-01-16,1,127400,89701,0
2010-01-17,1,134200,86629,0
2010-01-18,1,132400,85859,0
2010-01-19,1,134000,85298,0
2010-01-20,1,140100,84110,0
2010-01-21,1,130400,87454,0
2010-01-22,1,138600,87521,0
2010-01-23,1,129200,83892,0
2010-01-24,1,132700,88352,0
2010-01-25,1,128000,83747,0
2010-01-26,1,131900,83744,0
2010-01-27,1,124900,85136,0
2010-01-28,1,130900,90920,0
2010-01-29,1,130800,90289,0
2010-01-30,1,132100,88613,0
2010-01-31,1,133400,85612,0
2010-02-01,1,128600,85679,0
2010-02-02,1,130000,82051,0
2010-02-03,1,128400,86022,0
2010-02-04,1,133900,86925,0
2010-02-05,1,131200,83925,0
2010-02-06,1,130200,86222,0
2010-02-07,1,128600,82177,0
2010-02-08,1,131700,82313,0
2010-02-09,1,128700,83077,0
2010-02-10,1,132400,82726,0
2010-02-11,1,135600,83002,0
2010-02-12,1,133100,83975,0
2010-02-13,1,130000,86550,0
2010-02-14,1,135100,85154,0
2010-02-15,1,134100,86545,0
2010-02-16,1,130100,85915,0
2010-02-17,1,135200,86330,0
2010-02-18,1,130600,82913,0
2010-02-19,1,130300,83885,0
2010-02-20,1,124900,82977,0
2010-02-21,1,120700,84228,0
2010-02-22,1,132600,85201,0
2010-02-23,1,126100,83526,0
2010-02-24,1,133000,80319,0
2010-02-25,1,130800,84008,0
2010-02-26,1,127800,79895,0
2010-02-27,1,131200,82888,0
2010-02-28,1,129700,84905,0
2010-03-01,1,128400,80793,0
2010-03-02,1,135200,84412,0
2010-03-03,1,133000,83852,0
2010-03-04,1,125200,87679,0
2010-03-05,1,130700,85656,0
2010-03-06,1,131000,82032,0
2010-03-07,1,129500,87322,0
2010-03-08,1,125900,77501,0
2010-03-09,1,136000,80910,0
2010-03-10,1,125200,84667,0
2010-03-11,1,135500,85848,0
2010-03-12,1,131800,80763,0
2010-03-13,1,125000,78671,0
2010-03-14,1,133000,79643,0
2010-03-15,1,133500,77831,0
2010-03-16,1,127200,82771,0
2010-03-17,1,128700,83464,0
2010-03-18,1,126300,82417,0
2010-03-19,1,123500,82693,0
2010-03-20,1,127200,78096,0
2010-03-21,1,127600,79625,0
2010-03-22,1,126000,77951,0
2010-03-23,1,127600,77183,0
2010-03-24,1,122600,81008,0
2010-03-25,1,128600,84972,0
2010-03-26,1,127700,79472,0
2010-03-27,1,135500,79956,0
2010-03-28,1,125800,75639,0
2010-03-29,1,126600,82734,0
2010-03-30,1,119800,78626,0
2010-03-31,1,126800,79528,0
2010-04-01,1,131700,81126,0
2010-04-02,1,124600,77992,0
2010-04-03,1,132100,76668,0
2010-04-04,1,124400,75969,0
2010-04-05,1,122900,82923,0
2010-04-06,1,134000,79095,0
2010-04-07,1,127100,78814,0
2010-04-08,1,126500,78115,0
2010-04-09,1,128200,81660,0
2010-04-10,1,130300,80545,0
2010-04-11,1,122900,78247,0
2010-04-12,1,129300,78453,0
2010-04-13,1,118900,82692,0
2010-04-14,1,122300,77543,0
2010-04-15,1,131500,81226,0
2010-04-16,1,128600,74339,0
2010-04-17,1,124200,74476,0
2010-04-18,1,123100,73361,0
2010-04-19,1,122300,78295,0
2010-04-20,1,120600,78918,0
2010-04-21,1,125400,75161,0
2010-04-22,1,125500,76897,0
2010-04-23,1,120300,77172,0
2010-04-24,1,126700,71260,0
2010-04-25,1,120100,75290,0
2010-04-26,1,120100,75426,0
2010-04-27,1,122100,75632,0
2010-04-28,1,130400,73544,0
2010-04-29,1,129500,72013,0
2010-04-30,1,127100,75277,0
2010-05-01,1,122800,72147,0
2010-05-02,1,122900,71310,0
2010-05-03,1,117700,72003,0
2010-05-04,1,123400,74155,0
2010-05-05,1,124700,72832,0
2010-05-06,1,120400,73524,0
2010-05-07,1,123700,75259,0
2010-05-08,1,117900,72199,0
2010-05-09,1,118100,74073,0
2010-05-10,1,119200,75321,0
2010-05-11,1,118700,71497,0
2010-05-12,1,119100,69688,0
2010-05-13,1,120500,70381,0
2010-05-14,1,124200,73852,0
2010-05-15,1,122200,75656,0
2010-05-16,1,124200,72735,0
2010-05-17,1,123300,72872,0
2010-05-18,1,123900,73286,0
2010-05-19,1,119000,69533,0
2010-05-20,1,120400,75574,0
2010-05-21,1,119100,72306,0
2010-05-22,1,120900,67025,0
2010-05-23,1,122300,70148,0
2010-05-24,1,119900,75216,0
2010-05-25,1,115300,68963,0
2010-05-26,1,120600,72155,0
2010-05-27,1,114700,71458,0
2010-05-28,1,119000,72984,0
2010-05-29,1,121900,68884,0
2010-05-30,1,116000,74090,0
2010-05-31,1,121200,74018,0
2010-06-01,1,120400,70197,0
2010-06-02,1,125900,72624,0
2010-06-03,1,123000,71858,0
2010-06-04,1,117800,76160,0
2010-06-05,1,125400,69632,0
2010-06-06,1,111300,71226,0
2010-06-07,1,116200,67267,0
2010-06-08,1,121600,66640,0
2010-06-09,1,123300,69761,0
2010-06-10,1,116000,70106,0
2010-06-11,1,113000,69895,0
2010-06-12,1,114400,68296,0
2010-06-13,1,111800,70238,0
2010-06-14,1,118900,67320,0
2010-06-15,1,119900,67040,0
2010-06-16,1,118400,69745,0
2010-06-17,1,118800,70991,0
2010-06-18,1,112200,69185,0
2010-06-19,1,114400,65088,0
2010-06-20,1,112000,71123,0
2010-06-21,1,110900,70843,0
2010-06-22,1,116400,68204,0
2010-06-23,1,122100,69867,0
2010-06-24,1,114200,66257,0
2010-06-25,1,114900,65422,0
2010-06-26,1,108700,65420,0
2010-06-27,1,118900,67984,0
2010-06-28,1,113000,63959,0
2010-06-29,1,114300,66662,0
2010-06-30,1,116600,68463,0
2010-07-01,1,112100,69709,0
2010-07-02,1,110200,66932,0
2010-07-03,1,109200,64503,0
2010-07-04,1,119200,67760,0
2010-07-05,1,113700,66440,0
2010-07-06,1,113300,66577,0
2010-07-07,1,112300,68794,0
2010-07-08,1,117400,63313,0
2010-07-09,1,115800,64212,0
2010-07-10,1,112500,70797,0
2010-07-11,1,112800,63376,0
2010-07-12,1,118900,64552,0
2010-07-13,1,111500,66977,0
2010-07-14,1,116800,63439,0
2010-07-15,1,106900,61149,0
2010-07-16,1,107100,64197,0
2010-07-17,1,105500,63848,0
2010-07-18,1,112600,65787,0
2010-07-19,1,113500,65923,0
2010-07-20,1,108100,64258,0
2010-07-21,1,110600,64671,0
2010-07-22,1,111000,64600,0
2010-07-23,1,102500,62657,0
2010-07-24,1,108300,70209,0
2010-07-25,1,108500,61544,0
2010-07-26,1,108800,64106,0
2010-07-27,1,105800,67707,0
2010-07-28,1,103600,61745,0
2010-07-29,1,108300,58071,0
2010-07-30,1,103800,67701,0
2010-07-31,1,102600,55018,0
2010-08-01,1,103600,58480,0
2010-08-02,1,106700,59864,0
2010-08-03,1,104800,61179,0
2010-08-04,1,105800,62216,0
